ChEMBL ID,Name,Synonyms,Type,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX Acidic pKa,CX Basic pKa,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles
CHEMBL309490,GALANGIN,NSC-407229,Small molecule,0,270.24,116,298,2.58,90.90,5,3,0,1,N,0.63,6.38,None,2.76,1.64,3,MOL,-1,20,5,3,0,270.0528,ACID,C15H10O5,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12
CHEMBL3330739,,,Small molecule,0,437.59,6,11,8.43,20.31,4,0,1,6,N,0.25,None,None,7.99,7.99,5,MOL,-1,31,2,0,1,437.0908,None,C27H19NOS2,O=Cc1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1
CHEMBL3798989,,,Small molecule,0,420.47,4,4,3.93,86.75,6,1,0,6,N,0.61,12.23,5.83,4.06,4.05,3,MOL,-1,31,7,1,0,420.1685,NEUTRAL,C24H24N2O5,COc1cc(OC)cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)c1
CHEMBL1091513,MRK-560,,Small molecule,0,517.93,443,525,4.67,80.31,4,1,1,5,N,0.58,6.20,None,5.54,4.76,2,MOL,-1,32,5,1,1,517.0208,ACID,C19H17ClF5NO4S2,O=S(=O)(NC1CCC(c2cc(F)ccc2F)(S(=O)(=O)c2ccc(Cl)cc2)CC1)C(F)(F)F
CHEMBL3330746,,,Small molecule,0,588.82,5,7,11.35,25.24,6,0,2,6,N,0.18,None,None,10.37,10.37,7,MOL,-1,41,3,0,2,588.1364,None,C35H28N2OS3,CC(C)(C)n1c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)sc2c2sc(-c3ccc(C=O)s3)cc21
CHEMBL3593277,,,Small molecule,0,828.79,3,4,2.29,217.70,13,2,2,12,N,0.14,9.85,None,-3.95,-3.95,5,MOL,-1,47,16,4,2,679.1388,NEUTRAL,C30H27F3N8O11S3,CCN1/C(=C/C=C/c2sc3ccc(OCc4no[n+]([O-])c4C(N)=O)cc3[n+]2CC)Sc2ccc(OCc3no[n+]([O-])c3C(N)=O)cc21.O=S(=O)([O-])C(F)(F)F
CHEMBL2402064,,,Small molecule,0,361.44,2,3,5.19,50.72,4,2,1,7,N,0.57,9.23,3.76,4.89,4.89,3,MOL,-1,27,4,2,1,361.1678,NEUTRAL,C23H23NO3,COc1cc(/C=C/c2ccc(NCc3ccccc3O)cc2)cc(OC)c1
CHEMBL4589690,,,,0,552.49,1,1,5.86,159.80,10,4,2,5,N,0.20,3.87,None,5.39,2.07,6,MOL,-1,41,10,4,2,552.1056,ACID,C31H20O10,COc1ccc(-c2cc(=O)c3c(O)c(Oc4ccc(-c5cc(=O)c6c(O)cc(O)cc6o5)cc4)c(O)cc3o2)cc1
CHEMBL3741300,,,Small molecule,0,461.61,2,4,3.80,61.88,4,1,0,0,N,0.64,12.59,8.71,3.23,1.90,1,MOL,-1,34,6,1,0,461.2678,BASE,C28H35N3O3,C[C@H]1CN2C[C@]34C[C@@]5(C(=O)Nc6c5ccc5c6C=CC(C)(C)O5)C(C)(C)[C@@H]3C[C@@]2(C1)C(=O)N4C
CHEMBL3741111,,,Small molecule,0,456.58,1,2,4.41,85.97,6,1,0,0,N,0.46,None,None,3.41,3.41,1,MOL,-1,33,6,1,0,456.2512,NEUTRAL,C27H36O6,CC1=CC[C@@H]2[C@@]3(C)[C@@H](O)CC(=O)OC(C)(C)[C@@H]3CC[C@@]2(C)[C@]12Cc1c(c(C)c(C)oc1=O)O2
CHEMBL3582127,,,Small molecule,0,326.35,2,3,2.13,87.74,5,2,0,3,N,0.90,12.71,None,1.51,1.51,2,MOL,-1,24,5,2,0,326.1154,NEUTRAL,C19H18O5,C[C@]1(O)c2ccc3c(c2C(=O)c2occ(CCCO)c21)CCC3=O
CHEMBL177126,,NSC-649410,Small molecule,0,516.46,18,53,1.03,211.28,11,7,3,7,N,0.16,3.31,None,2.16,-1.28,2,MOL,-1,37,12,7,3,516.1268,ACID,C25H24O12,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](O)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1
CHEMBL253570,GOSSYPETIN,Articulatidin|Equisporol|Gossypetin,Small molecule,0,318.24,39,61,1.69,151.59,8,6,1,1,N,0.29,6.59,None,1.85,0.94,3,MOL,-1,23,8,6,1,318.0376,NEUTRAL,C15H10O8,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12
CHEMBL3797381,,,Small molecule,0,406.44,4,4,3.62,97.75,6,2,0,5,N,0.63,8.99,5.83,3.91,3.89,3,MOL,-1,30,7,2,0,406.1529,NEUTRAL,C23H22N2O5,COc1cc(C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)ccc1O
CHEMBL3286985,,,Small molecule,0,400.84,2,2,3.04,84.06,7,2,0,3,N,0.52,9.38,None,4.15,4.14,4,MOL,-1,27,6,2,0,400.0285,NEUTRAL,C19H13ClN2O4S,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(O)c1O
CHEMBL469159,,,Small molecule,0,204.22,4,11,2.57,46.53,2,1,0,1,Y,0.76,4.30,None,2.53,-0.43,1,MOL,-1,15,3,1,0,204.0786,ACID,C12H12O3,CC1(C)C=Cc2cc(C(=O)O)ccc2O1
CHEMBL3742121,,,Small molecule,0,475.59,1,2,3.33,78.95,4,1,0,0,N,0.62,12.59,None,2.45,2.45,1,MOL,-1,35,7,1,0,475.2471,NEUTRAL,C28H33N3O4,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)N(C)C3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2
CHEMBL1744460,,,Small molecule,0,283.39,2,3,3.13,49.25,5,1,0,2,N,0.78,9.23,5.33,3.32,3.31,3,MOL,-1,19,4,1,0,271.0779,NEUTRAL,C14H13N3OS,[3H]C([3H])([3H])N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H]
CHEMBL3326704,,,Small molecule,0,469.59,5,5,5.62,84.23,5,2,1,9,N,0.25,None,8.89,5.01,3.68,4,MOL,-1,35,6,2,1,469.2365,BASE,C29H31N3O3,O=C(NCCCCCCNc1c2c(nc3ccccc13)CCCC2)c1cc2ccccc2oc1=O
CHEMBL3330736,,,Small molecule,0,305.83,2,2,3.84,28.16,3,1,0,2,N,0.57,None,2.64,1.98,1.98,3,MOL,-1,19,3,1,0,270.1059,NEUTRAL,C15H16ClN3S,CNc1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-]
CHEMBL576840,,NSC-3198,Small molecule,0,476.58,10,15,1.99,132.80,6,4,0,13,N,0.25,3.20,None,1.93,-4.78,2,MOL,-1,32,8,4,0,476.1076,ACID,C22H24N2O6S2,O=C(Cc1ccccc1)NC(CSSCC(NC(=O)Cc1ccccc1)C(=O)O)C(=O)O
CHEMBL2146607,,,Small molecule,0,678.6,1,2,2.71,257.81,14,8,3,10,N,0.07,3.19,None,4.58,1.12,3,MOL,-1,49,15,8,3,678.1585,ACID,C34H30O15,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H]1[C@H](O)C[C@](OC(=O)/C=C/c2ccc(O)c(O)c2)(C(=O)O)C[C@H]1OC(=O)/C=C/c1ccc(O)c(O)c1
CHEMBL3814965,,,Small molecule,0,202.26,1,2,2.03,63.83,4,2,0,2,N,0.78,None,6.88,2.12,2.00,2,MOL,-1,15,4,3,0,202.1218,NEUTRAL,C11H14N4,CC(C)Nc1nc(N)nc2ccccc12
CHEMBL3330737,,,Small molecule,0,504.64,7,24,8.60,64.33,5,1,2,7,N,0.18,2.53,None,8.25,4.74,5,MOL,-1,36,4,1,2,504.0966,ACID,C30H20N2O2S2,N#C/C(=C\c1ccc(-c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)s1)C(=O)O
CHEMBL3330750,,,Small molecule,0,348.45,2,4,5.58,56.81,5,0,1,4,N,0.58,None,None,4.99,4.99,3,MOL,-1,24,3,0,1,348.0391,NEUTRAL,C19H12N2OS2,COc1ccc(-c2ccc(-c3ccc(C=C(C#N)C#N)s3)s2)cc1
CHEMBL2059203,,,Small molecule,0,376.41,3,9,4.25,84.70,6,2,0,6,N,0.67,9.14,2.08,4.27,4.27,3,MOL,-1,28,6,2,0,376.1423,NEUTRAL,C22H20N2O4,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)ncn2)ccc1O
CHEMBL2146608,,,Small molecule,0,692.63,1,2,2.79,246.81,15,7,3,10,N,0.07,8.73,None,4.73,4.71,3,MOL,-1,50,15,7,3,692.1741,NEUTRAL,C35H32O15,COC(=O)[C@]1(O)C[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@@H](OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](OC(=O)/C=C/c2ccc(O)c(O)c2)C1
CHEMBL3813971,,,Small molecule,0,264.33,1,2,3.13,63.83,4,2,0,3,N,0.76,None,6.86,3.58,3.47,3,MOL,-1,20,4,3,0,264.1375,NEUTRAL,C16H16N4,Cc1ccc(CNc2nc(N)nc3ccccc23)cc1
CHEMBL181529,,,Small molecule,0,365.39,16,36,4.44,84.95,6,2,0,6,N,0.67,9.13,0.46,4.25,4.24,3,MOL,-1,27,6,2,0,365.1263,NEUTRAL,C21H19NO5,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)on2)ccc1O
CHEMBL3330735,,,Small molecule,0,291.81,2,2,3.38,42.15,3,1,0,1,N,0.41,None,2.46,1.68,1.68,3,MOL,-1,18,3,2,0,256.0903,NEUTRAL,C14H14ClN3S,CN(C)c1ccc2nc3ccc(N)cc3[s+]c2c1.[Cl-]
CHEMBL3286988,,,Small molecule,0,414.87,2,2,3.35,73.06,7,1,0,4,N,0.55,9.19,None,4.29,4.29,4,MOL,-1,28,6,1,0,414.0441,NEUTRAL,C20H15ClN2O4S,COc1cc(/C=c2\sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O
CHEMBL3814631,,,Small molecule,0,329.2,1,7,3.59,63.83,4,2,0,3,N,0.77,None,6.86,3.84,3.73,3,MOL,-1,20,4,3,0,328.0324,NEUTRAL,C15H13BrN4,Nc1nc(NCc2ccc(Br)cc2)c2ccccc2n1
CHEMBL151,LUTEOLIN,CYANIDENON-1470|Digitoflavone|FLACITRAN|LUTEOLIN|Luteoline|Luteolol|SALIFAZIDE|WELD LAKE|YAMA KARIYASU,Small molecule,2,286.24,294,1054,2.28,111.13,6,4,0,1,N,0.51,6.57,None,2.40,1.46,3,MOL,0,21,6,4,0,286.0477,NEUTRAL,C15H10O6,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12
CHEMBL3667037,,,Small molecule,0,529.39,1,1,5.68,116.85,7,2,2,10,N,0.23,8.79,None,7.47,7.45,2,MOL,-1,37,7,2,2,529.096,NEUTRAL,C24H17F6NO6,N#CCCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL197202,,,Small molecule,0,336.36,6,10,5.05,57.53,2,2,1,4,N,0.70,4.50,None,5.29,2.48,3,MOL,-1,25,3,2,1,336.1162,ACID,C21H17FO3,CC(C(=O)O)c1ccc(-c2ccc(-c3ccc(O)cc3)cc2)c(F)c1
CHEMBL3330754,,,Small molecule,0,309.42,2,3,5.44,32.86,3,1,1,3,N,0.50,None,None,4.76,4.76,4,MOL,-1,21,2,1,1,309.0282,NEUTRAL,C17H11NOS2,O=Cc1ccc(-c2ccc(-c3ccc4[nH]ccc4c3)s2)s1
CHEMBL3667029,,,Small molecule,0,578.46,1,1,5.78,111.52,8,2,2,14,N,0.10,8.79,None,8.00,7.99,2,MOL,-1,40,8,2,2,578.1375,NEUTRAL,C26H24F6O8,COCOCCCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL3087680,,,Small molecule,0,819.01,5,6,6.28,140.46,8,6,3,24,N,0.04,None,10.22,5.47,0.58,4,MOL,-1,60,10,6,3,818.4331,BASE,C48H56F2N6O4,C[C@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1
CHEMBL3667024,,,Small molecule,0,576.44,1,1,5.72,119.36,8,2,2,12,N,0.14,8.79,None,7.92,7.90,2,MOL,-1,40,8,2,2,576.1219,NEUTRAL,C26H22F6O8,CCOC(=O)CCC(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL3740785,,,Small molecule,0,461.56,1,4,2.99,87.74,4,2,0,0,N,0.62,11.90,None,2.23,2.23,1,MOL,-1,34,7,2,0,461.2315,NEUTRAL,C27H31N3O4,C[C@@H]1C[C@@]23C[C@H]4C(C)(C)[C@@]5(C[C@]4(CN2C1=O)NC3=O)C(=O)Nc1c5ccc2c1C=CC(C)(C)O2
CHEMBL324842,ROSMARINIC ACID,Rosmarinic acid,Small molecule,0,360.32,86,320,1.76,144.52,7,5,0,6,N,0.30,3.13,None,3.00,-0.46,2,MOL,-1,26,8,5,0,360.0845,ACID,C18H16O8,O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O
CHEMBL229907,,,Small molecule,0,284.31,48,86,3.31,55.76,4,1,0,5,N,0.68,7.10,None,3.92,3.45,2,MOL,-1,21,4,1,0,284.1049,NEUTRAL,C17H16O4,COc1ccc(/C=C/C(=O)c2ccc(OC)cc2O)cc1
CHEMBL3740157,,,Small molecule,0,188.23,1,3,2.11,32.67,2,0,0,1,Y,0.66,None,None,2.04,2.04,1,MOL,-1,14,3,0,0,188.095,NEUTRAL,C11H12N2O,CC1=NN(c2ccc(C)cc2)C(=O)C1
CHEMBL291426,HINOKIFLAVONE,Hinokiflavone,Small molecule,0,538.46,10,16,5.55,170.80,10,5,2,4,N,0.19,4.67,None,5.24,1.39,6,MOL,-1,40,10,5,2,538.09,ACID,C30H18O10,O=c1cc(-c2ccc(Oc3c(O)cc4oc(-c5ccc(O)cc5)cc(=O)c4c3O)cc2)oc2cc(O)cc(O)c12
CHEMBL4644047,,,,0,386.49,1,1,5.25,94.83,4,3,1,9,N,0.40,2.96,None,6.42,2.93,1,MOL,-1,28,5,3,1,386.2093,ACID,C23H30O5,CC(C)=CC(=O)C/C(C)=C/CC/C(C)=C/Cc1c(O)cc(C)c(C(=O)O)c1O
CHEMBL289556,OMAPATRILAT,BMS-186716|BMS-186716-01|OMAPATRILAT,Small molecule,0,408.55,12,52,1.94,86.71,5,3,0,5,N,0.65,3.77,None,2.06,-1.22,1,MOL,0,27,6,2,0,408.1177,ACID,C19H24N2O4S2,O=C(N[C@H]1CCS[C@H]2CCC[C@@H](C(=O)O)N2C1=O)[C@@H](S)Cc1ccccc1
CHEMBL4126073,,,Small molecule,0,429.47,1,2,2.63,92.32,7,1,0,10,N,0.46,12.38,None,2.77,2.77,2,MOL,-1,31,8,1,0,429.1788,NEUTRAL,C23H27NO7,COC(=O)[C@H](Cc1ccc(OC)c(OC)c1)NC(=O)/C=C/c1ccc(OC)c(OC)c1
CHEMBL3814610,,,Small molecule,0,264.33,2,8,2.87,63.83,4,2,0,4,N,0.76,None,6.83,3.36,3.25,3,MOL,-1,20,4,3,0,264.1375,NEUTRAL,C16H16N4,Nc1nc(NCCc2ccccc2)nc2ccccc12
CHEMBL4226121,,,Small molecule,0,409.92,2,3,3.87,56.67,4,1,0,5,N,0.69,8.83,6.93,3.63,3.58,3,MOL,-1,29,5,1,0,409.1557,NEUTRAL,C23H24ClN3O2,O=C(CCc1ccc(Cl)cc1)N1CCN(Cc2ccc(O)c3ncccc23)CC1
CHEMBL4449738,,,,0,552.49,1,1,5.44,170.80,10,5,2,4,N,0.19,6.05,None,5.23,3.78,6,MOL,-1,41,10,5,2,552.1056,ACID,C31H20O10,COc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1-c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12
CHEMBL3692697,,,Small molecule,0,651.09,1,1,7.48,75.27,4,2,2,7,N,0.26,8.20,None,8.06,8.00,3,MOL,-1,42,5,2,2,650.0899,NEUTRAL,C28H25ClF6N2O3S2,O=C(CCc1cc(C(F)(F)F)ccc1C(F)(F)F)Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1
CHEMBL392878,,,Small molecule,0,373.46,1,1,4.60,83.39,5,2,0,6,N,0.62,None,4.63,3.93,3.93,3,MOL,-1,28,5,4,0,373.179,NEUTRAL,C23H23N3O2,COc1ccc(/C=C/c2cccc(/C=C/c3ccc(OC)c(N)c3)n2)cc1N
CHEMBL296411,TRISMETHOXYRESVERATROL,"(E)-3,5,4'-Trimethoxystilbene|(E)-3,5,40-Trimethoxystilbene|3,5,4'-Trimethoxystilbene|8E-3,4',5-Trimethoxystilbene|Trans-3,4',5-Trimethoxystilbene|Trismethoxyresveratrol",Small molecule,0,270.33,113,202,3.88,27.69,3,0,0,5,N,0.77,None,None,3.84,3.84,2,MOL,-1,20,3,0,0,270.1256,NEUTRAL,C17H18O3,COc1ccc(/C=C/c2cc(OC)cc(OC)c2)cc1
CHEMBL245688,,,Small molecule,0,453.33,1,1,6.22,58.92,4,2,1,6,N,0.44,9.16,None,6.50,6.49,3,MOL,-1,29,4,2,1,452.0623,NEUTRAL,C24H21BrO4,COc1cc(/C=C/c2cc(Br)cc(/C=C/c3ccc(O)c(OC)c3)c2)ccc1O
CHEMBL3667021,,,Small molecule,0,504.38,1,1,5.79,93.06,6,2,2,8,N,0.27,8.79,None,8.40,8.38,2,MOL,-1,35,6,2,2,504.1008,NEUTRAL,C23H18F6O6,CC(C)(C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1)C(=O)/C=C/c1ccc(O)c(OC(F)(F)F)c1
CHEMBL4753795,,,,0,419.44,8,9,4.28,101.94,7,3,0,6,N,0.24,9.42,8.76,2.86,1.99,4,MOL,-1,31,8,3,0,419.1481,BASE,C23H21N3O5,COc1cc2nc3ccccc3c(Nc3ccc(C(=O)NO)cc3)c2c(OC)c1OC
CHEMBL492217,,,Small molecule,0,293.37,1,1,4.68,25.61,3,0,0,4,N,0.70,None,4.76,4.34,4.34,3,MOL,-1,22,3,0,0,293.1416,NEUTRAL,C19H19NO2,COc1ccc2oc(/C=C/c3ccc(N(C)C)cc3)cc2c1
CHEMBL3781022,,,Small molecule,0,430.56,1,1,4.12,87.90,6,4,0,9,N,0.30,None,5.07,3.87,3.87,4,MOL,-1,32,8,4,0,430.2593,NEUTRAL,C24H30N8,CN(C)c1ccc(-c2cc(NCCNc3cc(-c4ccc(N(C)C)cc4)[nH]n3)n[nH]2)cc1
CHEMBL4562198,,,,0,606.76,6,21,4.40,123.60,8,4,1,18,N,0.12,7.63,8.74,3.46,2.66,3,MOL,-1,44,10,4,1,606.3417,BASE,C34H46N4O6,CCN(CCCNC(=O)c1cc(O)c(C(=O)NCCCN(CC)Cc2ccccc2OC)cc1O)Cc1ccccc1OC
CHEMBL2381402,,,Small molecule,0,377.44,3,7,3.86,59.75,5,0,0,5,N,0.50,None,6.26,3.71,3.67,3,MOL,-1,28,5,0,0,377.1627,NEUTRAL,C23H23NO4,COc1ccc2cc(C(=O)CN3CCC(c4ccccc4)CC3)c(=O)oc2c1
CHEMBL2408262,,,Small molecule,0,401.46,3,3,5.17,75.63,4,2,1,6,N,0.44,7.10,None,6.20,5.73,3,MOL,-1,30,5,2,1,401.1627,NEUTRAL,C25H23NO4,COc1ccc(C(=O)/C=C/c2ccc(C(=O)Nc3ccc(C)cc3C)cc2)c(O)c1
CHEMBL490806,,,Small molecule,0,265.31,1,1,4.19,48.39,3,1,0,3,N,0.72,None,4.01,3.41,3.41,3,MOL,-1,20,3,2,0,265.1103,NEUTRAL,C17H15NO2,COc1ccc2cc(/C=C/c3ccc(N)cc3)oc2c1
CHEMBL489978,,,Small molecule,0,281.33,1,1,4.81,16.38,2,0,0,3,N,0.68,None,4.76,4.64,4.64,3,MOL,-1,21,2,0,0,281.1216,NEUTRAL,C18H16FNO,CN(C)c1ccc(/C=C/c2cc3cc(F)ccc3o2)cc1
CHEMBL2381401,,,Small molecule,0,392.46,3,8,2.80,62.99,6,0,0,6,N,0.47,None,6.84,3.01,2.90,3,MOL,-1,29,6,0,0,392.1736,NEUTRAL,C23H24N2O4,COc1ccc2cc(C(=O)CN3CCN(Cc4ccccc4)CC3)c(=O)oc2c1
CHEMBL245479,,,Small molecule,0,494.42,1,1,6.76,6.48,2,0,1,6,N,0.28,None,5.11,7.80,7.80,3,MOL,-1,29,2,0,1,494.1219,NEUTRAL,C26H27IN2,CN(C)c1ccc(/C=C/c2cc(I)cc(/C=C/c3ccc(N(C)C)cc3)c2)cc1
CHEMBL81379,RETINAL,All-Trans-Retinal|Retinal,Small molecule,0,284.44,27,93,5.72,17.07,1,0,1,5,N,0.36,None,None,4.86,4.86,0,MOL,-1,21,1,0,1,284.214,NEUTRAL,C20H28O,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
CHEMBL4762873,,,,0,329.36,13,23,4.25,74.25,4,3,0,3,N,0.30,9.31,8.42,3.48,2.76,4,MOL,-1,25,5,3,0,329.1164,NEUTRAL,C20H15N3O2,O=C(NO)c1ccc(Nc2c3ccccc3nc3ccccc23)cc1
CHEMBL3582128,,,Small molecule,0,312.32,2,3,1.74,87.74,5,2,0,2,N,0.88,12.71,None,1.06,1.06,2,MOL,-1,23,5,2,0,312.0998,NEUTRAL,C18H16O5,C[C@]1(O)c2ccc3c(c2C(=O)c2occ(CCO)c21)CCC3=O
