Molecule_ChEMBL_ID,Standard_Value,Smiles_x,molecule_class,Max Phase,Molecular Weight,Targets,Bioactivities,AlogP,Polar Surface Area,HBA,HBD,#RO5 Violations,#Rotatable Bonds,Passes Ro3,QED Weighted,CX LogP,CX LogD,Aromatic Rings,Structure Type,Inorganic Flag,Heavy Atoms,HBA (Lipinski),HBD (Lipinski),#RO5 Violations (Lipinski),Molecular Weight (Monoisotopic),Molecular Species,Molecular Formula,Smiles_y
CHEMBL3672695,1.6,CC1=N[C@]2(N=C1N)c1cc(OCCCF)ccc1C[C@]21CC[C@@H](OC(F)F)CC1,active,0.0,409.45,2.0,2.0,4.13,69.2,5.0,1.0,0.0,6.0,N,0.72,4.29,4.29,1.0,MOL,-1.0,29.0,5.0,2.0,0.0,409.1977,NEUTRAL,C21H26F3N3O2,CC1=N[C@]2(N=C1N)c1cc(OCCCF)ccc1C[C@]21CC[C@@H](OC(F)F)CC1
CHEMBL3923244,1.6,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(C)C(N)=N1,active,0.0,367.49,2.0,2.0,3.59,69.2,5.0,1.0,0.0,4.0,N,0.88,3.88,3.88,1.0,MOL,-1.0,27.0,5.0,2.0,0.0,367.226,NEUTRAL,C22H29N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3)cc1C21N=C(C)C(N)=N1
CHEMBL3672698,1.6,CC1=N[C@]2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1C[C@]21CC[C@@H](O)CC1,active,0.0,418.93,2.0,2.0,4.34,94.76,5.0,2.0,0.0,1.0,N,0.72,4.72,4.72,2.0,MOL,-1.0,30.0,5.0,3.0,0.0,418.156,NEUTRAL,C24H23ClN4O,CC1=N[C@]2(N=C1N)c1cc(-c3cc(Cl)cc(C#N)c3)ccc1C[C@]21CC[C@@H](O)CC1
CHEMBL3893021,1.6,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC(C)C)cc1[C@@]21N=C(C)C(N)=N1,active,0.0,363.51,2.0,2.0,3.81,59.97,4.0,1.0,0.0,1.0,N,0.77,4.97,4.97,1.0,MOL,-1.0,27.0,4.0,2.0,0.0,363.2311,NEUTRAL,C23H29N3O,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC(C)C)cc1[C@@]21N=C(C)C(N)=N1
CHEMBL3956918,1.7,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ncon1,active,0.0,575.01,1.0,1.0,3.47,125.66,9.0,0.0,1.0,7.0,N,0.42,2.29,2.29,3.0,MOL,-1.0,37.0,9.0,0.0,1.0,574.0447,NEUTRAL,C23H21ClF2N2O7S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ncon1
CHEMBL3947671,1.7,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(Cl)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,active,0.0,450.95,2.0,2.0,5.13,83.76,5.0,1.0,1.0,2.0,N,0.69,5.51,5.51,2.0,MOL,-1.0,32.0,5.0,2.0,1.0,450.1623,NEUTRAL,C25H24ClFN4O,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(Cl)cc(C#N)c3)cc1C21N=C(C)C(N)=N1
CHEMBL3934479,1.9,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ccccn1,active,0.0,584.06,1.0,1.0,4.49,99.63,7.0,0.0,1.0,7.0,N,0.4,3.28,3.28,3.0,MOL,-1.0,38.0,7.0,0.0,1.0,583.0702,NEUTRAL,C26H24ClF2NO6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1ccccn1
CHEMBL4112651,2.0,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CCC3)cc1[C@]21N=C(C)C(N)=N1,active,0.0,375.52,2.0,2.0,3.95,59.97,4.0,1.0,0.0,1.0,N,0.76,4.96,4.95,1.0,MOL,-1.0,28.0,4.0,2.0,0.0,375.2311,NEUTRAL,C24H29N3O,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CCC3)cc1[C@]21N=C(C)C(N)=N1
CHEMBL3891777,2.1,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CCC3)cc1[C@@]21N=C(C)C(N)=N1,active,0.0,375.52,2.0,2.0,3.95,59.97,4.0,1.0,0.0,1.0,N,0.76,4.96,4.95,1.0,MOL,-1.0,28.0,4.0,2.0,0.0,375.2311,NEUTRAL,C24H29N3O,CO[C@H]1CC[C@]2(CC1)Cc1ccc(C#CC3CCC3)cc1[C@@]21N=C(C)C(N)=N1
CHEMBL3905816,2.3,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3(F)F)cc1C21N=C(C)C(N)=N1,active,0.0,403.47,2.0,2.0,3.84,69.2,5.0,1.0,0.0,4.0,N,0.83,3.74,3.74,1.0,MOL,-1.0,29.0,5.0,2.0,0.0,403.2071,NEUTRAL,C22H27F2N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3CC3(F)F)cc1C21N=C(C)C(N)=N1
CHEMBL3672728,2.4,CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC3)CC[C@@H](OC)CC2)c1,active,0.0,426.56,2.0,2.0,4.63,72.86,5.0,1.0,0.0,2.0,N,0.71,5.12,5.12,2.0,MOL,-1.0,32.0,5.0,2.0,0.0,426.242,NEUTRAL,C27H30N4O,CC#Cc1cncc(-c2ccc3c(c2)C2(N=C(C)C(N)=N2)[C@]2(CC3)CC[C@@H](OC)CC2)c1
CHEMBL3672687,2.4,CC1=NC2(N=C1N)c1cc(Br)ccc1C[C@]21CC[C@@H](O)CC1,active,0.0,362.27,2.0,2.0,2.91,70.97,4.0,2.0,0.0,0.0,N,0.75,3.38,3.38,1.0,MOL,-1.0,22.0,4.0,3.0,0.0,361.079,NEUTRAL,C17H20BrN3O,CC1=NC2(N=C1N)c1cc(Br)ccc1C[C@]21CC[C@@H](O)CC1
CHEMBL239629,2.4,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1,active,0.0,584.09,5.0,11.0,4.18,90.39,6.0,1.0,1.0,7.0,N,0.53,4.02,3.94,2.0,MOL,-1.0,39.0,8.0,1.0,1.0,583.1719,NEUTRAL,C27H32ClF2N3O5S,O=C(OC1([C@H]2CCC[C@@H](c3cc(F)cc(F)c3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCN(CCO)CC1
CHEMBL3899321,2.5,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)F)cc1C21N=C(C)C(N)=N1,active,0.0,373.47,2.0,2.0,3.54,69.2,5.0,1.0,0.0,4.0,N,0.88,3.72,3.71,1.0,MOL,-1.0,27.0,5.0,2.0,0.0,373.2166,NEUTRAL,C21H28FN3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC(C)F)cc1C21N=C(C)C(N)=N1
CHEMBL239858,2.5,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active,0.0,552.18,2.0,2.0,5.67,70.16,5.0,0.0,2.0,7.0,N,0.44,5.06,3.0,1.0,MOL,-1.0,37.0,7.0,0.0,2.0,551.2585,BASE,C28H42ClN3O4S,CCC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL3672725,2.5,CO[C@H]1CC[C@@]2(CCc3ccc(-c4cncc(Cl)c4)cc3C23N=C(C)C(N)=N3)CC1,active,0.0,422.96,2.0,2.0,4.91,72.86,5.0,1.0,0.0,2.0,N,0.75,4.73,4.73,2.0,MOL,-1.0,30.0,5.0,2.0,0.0,422.1873,NEUTRAL,C24H27ClN4O,CO[C@H]1CC[C@@]2(CCc3ccc(-c4cncc(Cl)c4)cc3C23N=C(C)C(N)=N3)CC1
CHEMBL3941787,2.8,O=c1[nH]cccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12,active,0.0,586.03,1.0,1.0,3.64,119.6,7.0,1.0,1.0,6.0,N,0.47,2.45,2.45,3.0,MOL,-1.0,38.0,8.0,1.0,1.0,585.0494,NEUTRAL,C25H22ClF2NO7S2,O=c1[nH]cccc1S(=O)(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12
CHEMBL400420,2.8,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,active,0.0,550.17,2.0,2.0,5.28,70.16,5.0,0.0,2.0,6.0,N,0.48,4.51,2.45,1.0,MOL,-1.0,37.0,7.0,0.0,2.0,549.2428,BASE,C28H40ClN3O4S,O=C(OC1([C@H]2CCC[C@@H](C3CC3)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1
CHEMBL3915935,2.8,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3(C)CC3)cc1C21N=C(C)C(N)=N1,active,0.0,381.52,2.0,2.0,3.98,69.2,5.0,1.0,0.0,4.0,N,0.86,4.26,4.26,1.0,MOL,-1.0,28.0,5.0,2.0,0.0,381.2416,NEUTRAL,C23H31N3O2,CO[C@H]1CC[C@]2(CC1)Cc1ccc(OCC3(C)CC3)cc1C21N=C(C)C(N)=N1
CHEMBL3900140,2.9,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccncn1,active,0.0,571.02,1.0,1.0,3.74,112.52,8.0,0.0,1.0,6.0,N,0.41,3.02,3.02,3.0,MOL,-1.0,37.0,8.0,0.0,1.0,570.0498,NEUTRAL,C24H21ClF2N2O6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ccncn1
CHEMBL3969309,3.0,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cncc(Cl)c3)cc1C21N=C(C)C(N)=N1,active,0.0,426.92,2.0,2.0,4.66,72.86,5.0,1.0,0.0,2.0,N,0.76,4.43,4.43,2.0,MOL,-1.0,30.0,5.0,2.0,0.0,426.1623,NEUTRAL,C23H24ClFN4O,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cncc(Cl)c3)cc1C21N=C(C)C(N)=N1
CHEMBL3672730,3.1,COC1CCC2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,active,0.0,446.98,2.0,2.0,5.38,83.76,5.0,1.0,1.0,2.0,N,0.67,5.81,5.81,2.0,MOL,-1.0,32.0,5.0,2.0,1.0,446.1873,NEUTRAL,C26H27ClN4O,COC1CCC2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1
CHEMBL239859,3.5,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active,0.0,538.15,2.0,2.0,5.28,70.16,5.0,0.0,2.0,6.0,N,0.49,4.61,2.55,1.0,MOL,-1.0,36.0,7.0,0.0,2.0,537.2428,BASE,C27H40ClN3O4S,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL442801,3.5,O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1,active,0.0,592.12,1.0,1.0,5.82,70.16,5.0,0.0,2.0,6.0,N,0.42,4.59,2.53,1.0,MOL,-1.0,39.0,7.0,0.0,2.0,591.2145,BASE,C27H37ClF3N3O4S,O=C(OC1([C@H]2CCC[C@@H](CC(F)(F)F)N2S(=O)(=O)c2ccc(Cl)cc2)CC1)N1CCC(N2CCCCC2)CC1
CHEMBL2203379,4.0,CN(C)c1ccc(-c2nc3ccc(F)nc3o2)cc1,active,0.0,257.27,3.0,3.0,3.09,42.16,4.0,0.0,0.0,2.0,N,0.66,3.14,3.14,3.0,MOL,-1.0,19.0,4.0,0.0,0.0,257.0964,NEUTRAL,C14H12FN3O,CN(C)c1ccc(-c2nc3ccc(F)nc3o2)cc1
CHEMBL392144,4.3,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(O)(CC)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1,active,0.0,499.07,3.0,4.0,4.57,87.15,5.0,1.0,0.0,6.0,N,0.62,3.86,3.86,1.0,MOL,-1.0,33.0,7.0,1.0,0.0,498.1955,NEUTRAL,C24H35ClN2O5S,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(O)(CC)CC3)CC2)N1S(=O)(=O)c1ccc(Cl)cc1
CHEMBL3948649,4.5,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cccnn1,active,0.0,571.02,1.0,1.0,3.74,112.52,8.0,0.0,1.0,6.0,N,0.44,2.74,2.74,3.0,MOL,-1.0,37.0,8.0,0.0,1.0,570.0498,NEUTRAL,C24H21ClF2N2O6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cccnn1
CHEMBL3672732,4.5,CO[C@H]1CC[C@]2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1,active,0.0,446.98,2.0,2.0,5.38,83.76,5.0,1.0,1.0,2.0,N,0.67,5.81,5.81,2.0,MOL,-1.0,32.0,5.0,2.0,1.0,446.1873,NEUTRAL,C26H27ClN4O,CO[C@H]1CC[C@]2(CCc3ccc(-c4cc(Cl)cc(C#N)c4)cc3C23N=C(C)C(N)=N3)CC1
CHEMBL3943188,4.8,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(F)cc(C#N)c3)cc1C21N=C(C)C(N)=N1,active,0.0,434.49,2.0,2.0,4.62,83.76,5.0,1.0,0.0,2.0,N,0.75,5.04,5.04,2.0,MOL,-1.0,32.0,5.0,2.0,0.0,434.1918,NEUTRAL,C25H24F2N4O,CO[C@H]1CC[C@]2(CC1)Cc1cc(F)c(-c3cc(F)cc(C#N)c3)cc1C21N=C(C)C(N)=N1
CHEMBL199946,5.2,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,active,0.0,655.88,2.0,2.0,5.1,133.63,5.0,4.0,2.0,18.0,N,0.15,5.48,3.81,3.0,MOL,-1.0,48.0,9.0,5.0,2.0,655.4098,BASE,C39H53N5O4,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](Cc2ccccc2)[C@@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1
CHEMBL3629745,5.4,CP1(=O)OCC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1,active,0.0,532.93,9.0,14.0,5.73,78.9,6.0,0.0,2.0,2.0,N,0.46,3.94,3.94,2.0,MOL,-1.0,34.0,6.0,0.0,2.0,532.0688,NEUTRAL,C23H24ClF2O6PS,CP1(=O)OCC[C@]2(CCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OC[C@@H]23)CO1
CHEMBL3904071,5.5,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cnccn1,active,0.0,571.02,1.0,1.0,3.74,112.52,8.0,0.0,1.0,6.0,N,0.44,2.51,2.51,3.0,MOL,-1.0,37.0,8.0,0.0,1.0,570.0498,NEUTRAL,C24H21ClF2N2O6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1cnccn1
CHEMBL3957316,5.8,Cc1nc(CS(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)no1,active,0.0,589.04,1.0,1.0,3.78,125.66,9.0,0.0,1.0,7.0,N,0.41,2.52,2.52,3.0,MOL,-1.0,38.0,9.0,0.0,1.0,588.0603,NEUTRAL,C24H23ClF2N2O7S2,Cc1nc(CS(=O)(=O)CC[C@@H]2OCC[C@@]3(S(=O)(=O)c4ccc(Cl)cc4)c4c(F)ccc(F)c4OCC23)no1
CHEMBL3286988,6.0,COc1cc(/C=c2\sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O,active,0.0,414.87,2.0,2.0,3.35,73.06,7.0,1.0,0.0,4.0,N,0.55,4.29,4.29,4.0,MOL,-1.0,28.0,6.0,1.0,0.0,414.0441,NEUTRAL,C20H15ClN2O4S,COc1cc(/C=c2\sc3nc(-c4cccc(Cl)c4)cn3c2=O)cc(OC)c1O
CHEMBL3928118,6.4,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ncccn1,active,0.0,571.02,1.0,1.0,3.74,112.52,8.0,0.0,1.0,6.0,N,0.41,3.1,3.1,3.0,MOL,-1.0,37.0,8.0,0.0,1.0,570.0498,NEUTRAL,C24H21ClF2N2O6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)c1ncccn1
CHEMBL3961972,6.6,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1cccnc1,active,0.0,584.06,1.0,1.0,4.49,99.63,7.0,0.0,1.0,7.0,N,0.4,2.89,2.89,3.0,MOL,-1.0,38.0,7.0,0.0,1.0,583.0702,NEUTRAL,C26H24ClF2NO6S2,O=S(=O)(CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OCC12)Cc1cccnc1
CHEMBL3659993,7.0,CC(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12,active,0.0,470.92,1.0,1.0,4.45,69.67,5.0,0.0,0.0,5.0,N,0.65,3.83,3.83,2.0,MOL,-1.0,31.0,5.0,0.0,0.0,470.0766,NEUTRAL,C22H21ClF2O5S,CC(=O)CC[C@@H]1OCC[C@@]2(S(=O)(=O)c3ccc(Cl)cc3)c3c(F)ccc(F)c3OC[C@@H]12
CHEMBL2386721,7.0,CC1(C)OC(N)=N[C@](C)(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C1(F)F,active,0.0,452.82,5.0,8.0,3.37,126.28,7.0,2.0,0.0,3.0,N,0.73,3.77,3.76,2.0,MOL,-1.0,31.0,8.0,3.0,0.0,452.0975,NEUTRAL,C19H16ClF3N6O2,CC1(C)OC(N)=N[C@](C)(c2nc(NC(=O)c3ncc(C#N)cc3Cl)ccc2F)C1(F)F
CHEMBL3286982,7.0,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O,active,0.0,414.87,2.0,2.0,3.35,73.06,7.0,1.0,0.0,4.0,N,0.55,4.29,4.29,4.0,MOL,-1.0,28.0,6.0,1.0,0.0,414.0441,NEUTRAL,C20H15ClN2O4S,COc1cc(/C=c2\sc3nc(-c4ccc(Cl)cc4)cn3c2=O)cc(OC)c1O
